,start,stop,filename,cluster,index
0,151552,160306,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,5602,6755
1,323584,332338,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,9635,6756
2,364544,373298,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,34,6757
3,376832,385586,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,4483,6758
4,430080,455218,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,3117,6759
5,524288,541234,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,4243,6760
6,544768,553522,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,301,6761
7,864256,873010,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,10405,6762
8,876544,893490,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,6176,6763
9,929792,938546,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,2630,6764
10,962560,979506,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,8088,6765
11,987136,995890,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,1353,6766
12,1069056,1077810,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,9,6767
13,1097728,1106482,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,159,6768
14,1126400,1135154,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,10776,6769
15,1155072,1163826,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,650,6770
16,1249280,1258034,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,251,6771
17,1314816,1323570,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,7736,6772
18,1347584,1356338,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,696,6773
19,1433600,1442354,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,235,6774
20,1462272,1483314,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,4574,6775
21,1544192,1552946,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,159,6776
22,1634304,1643058,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,1368,6777
23,1703936,1712690,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,1406,6778
24,1777664,1786418,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,79,6779
25,1974272,1983026,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,10672,6780
26,2150400,2159154,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,10130,6781
27,2293760,2302514,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,3442,6782
28,2486272,2495026,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,6312,6783
29,2519040,2540082,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,8301,6784
30,2580480,2593330,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,4203,6785
31,2658304,2667058,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,3935,6786
32,2936832,2945586,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,4163,6787
33,3088384,3097138,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,9161,6788
34,3211264,3220018,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,11207,6789
35,3563520,3572274,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,10590,6790
36,3579904,3588658,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,9121,6791
37,4284416,4293170,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,2766,6792
38,4296704,4305458,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,314,6793
39,4341760,4350514,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,7827,6794
40,4456448,4465202,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,9508,6795
41,4567040,4575794,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,4816,6796
42,4956160,4964914,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,3911,6797
43,4997120,5018162,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,11030,6798
44,5029888,5038642,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,11198,6799
45,5042176,5050930,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,3342,6800
46,5074944,5083698,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,6245,6801
47,5091328,5108274,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,4969,6802
48,5140480,5165618,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,1365,6803
49,5169152,5198386,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,5376,6804
50,5210112,5231154,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,8506,6805
51,5238784,5247538,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,10960,6806
52,5251072,5313074,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,11,6807
53,5328896,5349938,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,101,6808
54,5361664,5370418,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,7392,6809
55,5382144,5411378,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,11,6810
56,5419008,5452338,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,11,6811
57,5455872,5468722,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,1208,6812
58,5472256,5489202,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,10660,6813
59,5513216,5521970,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,1703,6814
60,5554176,5562930,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,10872,6815
61,5578752,5587506,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,79,6816
62,5672960,5689906,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,6305,6817
63,5742592,5751346,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,159,6818
64,5918720,5927474,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,8222,6819
65,5931008,5972530,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,82,6820
66,5992448,6005298,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,345,6821
67,6012928,6021682,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,4847,6822
68,6045696,6054450,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,11049,6823
69,6086656,6095410,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,4974,6824
70,6103040,6115890,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,9429,6825
71,6336512,6345266,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,2158,6826
72,6418432,6431282,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,6636,6827
73,6598656,6607410,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,1353,6828
74,6795264,6804018,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,38,6829
75,6844416,6857266,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,158,6830
76,6967296,6980146,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,1,6831
77,7077888,7086642,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,2360,6832
78,7180288,7205426,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,7878,6833
79,7217152,7230002,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,345,6834
80,7290880,7299634,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,5065,6835
81,7319552,7328306,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,6,6836
82,7385088,7393842,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,2913,6837
83,7430144,7438898,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,1368,6838
84,7573504,7582258,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,10870,6839
85,7606272,7615026,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,10468,6840
86,7630848,7639602,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,266,6841
87,7651328,7660082,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,2845,6842
88,7733248,7742002,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,10722,6843
89,7798784,7807538,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,7718,6844
90,7843840,7852594,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,8972,6845
91,7905280,7914034,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,164,6846
92,8220672,8229426,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,79,6847
93,8232960,8241714,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,508,6848
94,8310784,8319538,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,4042,6849
95,8433664,8446514,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,2772,6850
96,8454144,8462898,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,115,6851
97,8507392,8516146,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,23,6852
98,8716288,8725042,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,1395,6853
99,8744960,8753714,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,289,6854
100,8781824,8790578,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,311,6855
101,8818688,8831538,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,345,6856
102,8855552,8864306,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,2630,6857
103,8916992,8925746,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,7634,6858
104,9138176,9146930,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,6413,6859
105,9445376,9454130,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,5470,6860
106,9461760,9470514,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,10706,6861
107,9482240,9495090,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,345,6862
108,9531392,9540146,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,285,6863
109,9555968,9572914,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,345,6864
110,9596928,9605682,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,126,6865
111,9695232,9708082,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,1358,6866
112,9715712,9724466,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,45,6867
113,9760768,9769522,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,10560,6868
114,9822208,9830962,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,3628,6869
115,9908224,9916978,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,2790,6870
116,9920512,9937458,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,8748,6871
117,9990144,9998898,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,9670,6872
118,10096640,10109490,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,1,6873
119,10350592,10363442,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,35,6874
120,10489856,10502706,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,1342,6875
121,10838016,10854962,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,11014,6876
122,11067392,11076146,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,2630,6877
123,11165696,11174450,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,2642,6878
124,11386880,11395634,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,6492,6879
125,11497472,11514418,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,6405,6880
126,11669504,11678258,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,8827,6881
127,11804672,11817522,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,345,6882
128,11866112,11874866,/media/dkohlsdorf/GODZILLA/2011_wav//06141102C.wav,4803,6883
