118784,131634,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,1296
618496,680498,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,3
802816,819762,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,6079
1138688,1151538,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,1125
1241088,1307186,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,58
1581056,1643058,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,148
1691648,1765938,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,2
1900544,1909298,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,1020
1912832,1921586,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,2109
1953792,1962546,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,4050
1978368,1991218,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,630
2031616,2118194,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,2
2121728,2130482,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,4860
2142208,2171442,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,1734
2174976,2216498,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,9798
2289664,2298418,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,2921
2326528,2343474,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,4298
2347008,2368050,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,5734
2396160,2409010,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,4541
2412544,2421298,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,1565
2490368,2499122,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,3240
2854912,2863666,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,4372
2887680,2896434,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,9190
2945024,2957874,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,5128
2990080,3002930,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,2702
3006464,3052082,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,81
3055616,3064370,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,1144
3805184,3813938,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,4657
4816896,4825650,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,1549
6037504,6046258,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,4427
6082560,6095410,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,5230
6135808,6160946,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,3383
6221824,6230578,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,1536
6725632,6767154,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,9790
6955008,7000626,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,4954
7024640,7041586,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,2397
7127040,7139890,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,102
7159808,7168562,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,2423
7184384,7193138,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,4609
7237632,7266866,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,3557
7303168,7316018,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,8565
7356416,7365170,/media/dkohlsdorf/GODZILLA/2011_wav//06151101.wav,1567
