,start,stop,filename,cluster,index
66,9629696,9638450,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,7791,1022
67,9650176,9658930,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,8233,1023
68,9752576,9761330,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,9782,1024
69,9887744,9896498,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,8140,1025
70,10047488,10056242,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,6263,1026
71,10223616,10232370,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,9702,1027
72,10416128,10424882,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,9251,1028
73,10596352,10605106,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,6070,1029
74,10629120,10637874,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,9770,1030
75,10764288,10773042,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,8648,1031
76,10977280,10986034,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,9489,1032
77,10993664,11002418,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,5808,1033
78,11079680,11088434,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,97,1034
79,11161600,11170354,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,126,1035
80,11247616,11256370,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,7260,1036
81,11358208,11366962,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,6767,1037
82,11485184,11493938,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,6119,1038
83,11509760,11518514,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,8640,1039
84,11620352,11633202,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,8422,1040
85,12451840,12460594,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,6025,1041
86,12922880,12935730,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,7547,1042
87,12943360,12952114,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,2642,1043
88,13217792,13226546,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,292,1044
89,13414400,13423154,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,11143,1045
90,13492224,13525554,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,679,1046
91,13668352,13689394,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,7892,1047
92,13701120,13742642,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,679,1048
93,13778944,13787698,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,10133,1049
94,13840384,13849138,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,11005,1050
95,13852672,13861426,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,9280,1051
96,13987840,13996594,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,10842,1052
97,14217216,14225970,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,10001,1053
98,14381056,14398002,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,8862,1054
99,14442496,14451250,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,10704,1055
100,14602240,14610994,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,9047,1056
101,14655488,14664242,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,159,1057
102,14721024,14729778,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,9299,1058
103,14807040,14815794,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,1368,1059
104,14909440,14918194,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,6,1060
105,14934016,14955058,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,9719,1061
106,14962688,14979634,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,7660,1062
107,14983168,14991922,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,5913,1063
108,15233024,15241778,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,7604,1064
109,15437824,15446578,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,9126,1065
110,15769600,15778354,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,159,1066
