,start,stop,filename,cluster,names,anno,behavior
0,9125888,9134642,/media/dkohlsdorf/GODZILLA/2011_wav//06111101.wav,60,INFINITY NAIA FUDGE? BEYOND? VIOLET FLAMBE INFINITE NEMATOCYST VERDE FAGE,FORAGING PLAY PREGNANT CHASE FISH SURFING VOCALS WHISTLE,FO PL
1,544768,590386,/media/dkohlsdorf/GODZILLA/2011_wav//06111101.wav,62,INFINITY NAIA FUDGE? BEYOND? VIOLET FLAMBE INFINITE NEMATOCYST VERDE FAGE,FORAGING PLAY PREGNANT CHASE FISH SURFING VOCALS WHISTLE,FO PL
2,667648,721458,/media/dkohlsdorf/GODZILLA/2011_wav//06111101.wav,62,INFINITY NAIA FUDGE? BEYOND? VIOLET FLAMBE INFINITE NEMATOCYST VERDE FAGE,FORAGING PLAY PREGNANT CHASE FISH SURFING VOCALS WHISTLE,FO PL
3,4947968,5001778,/media/dkohlsdorf/GODZILLA/2011_wav//06111101.wav,62,INFINITY NAIA FUDGE? BEYOND? VIOLET FLAMBE INFINITE NEMATOCYST VERDE FAGE,FORAGING PLAY PREGNANT CHASE FISH SURFING VOCALS WHISTLE,FO PL
4,5033984,5079602,/media/dkohlsdorf/GODZILLA/2011_wav//06111101.wav,62,INFINITY NAIA FUDGE? BEYOND? VIOLET FLAMBE INFINITE NEMATOCYST VERDE FAGE,FORAGING PLAY PREGNANT CHASE FISH SURFING VOCALS WHISTLE,FO PL
5,8237056,8290866,/media/dkohlsdorf/GODZILLA/2011_wav//06111101.wav,62,INFINITY NAIA FUDGE? BEYOND? VIOLET FLAMBE INFINITE NEMATOCYST VERDE FAGE,FORAGING PLAY PREGNANT CHASE FISH SURFING VOCALS WHISTLE,FO PL
6,9154560,9191986,/media/dkohlsdorf/GODZILLA/2011_wav//06111101.wav,62,INFINITY NAIA FUDGE? BEYOND? VIOLET FLAMBE INFINITE NEMATOCYST VERDE FAGE,FORAGING PLAY PREGNANT CHASE FISH SURFING VOCALS WHISTLE,FO PL
7,15835136,15884850,/media/dkohlsdorf/GODZILLA/2011_wav//06111101.wav,62,INFINITY NAIA FUDGE? BEYOND? VIOLET FLAMBE INFINITE NEMATOCYST VERDE FAGE,FORAGING PLAY PREGNANT CHASE FISH SURFING VOCALS WHISTLE,FO PL
8,16113664,16171570,/media/dkohlsdorf/GODZILLA/2011_wav//06111101.wav,62,INFINITY NAIA FUDGE? BEYOND? VIOLET FLAMBE INFINITE NEMATOCYST VERDE FAGE,FORAGING PLAY PREGNANT CHASE FISH SURFING VOCALS WHISTLE,FO PL
9,16277504,16327218,/media/dkohlsdorf/GODZILLA/2011_wav//06111101.wav,62,INFINITY NAIA FUDGE? BEYOND? VIOLET FLAMBE INFINITE NEMATOCYST VERDE FAGE,FORAGING PLAY PREGNANT CHASE FISH SURFING VOCALS WHISTLE,FO PL
10,18259968,18338354,/media/dkohlsdorf/GODZILLA/2011_wav//06111101.wav,62,INFINITY NAIA FUDGE? BEYOND? VIOLET FLAMBE INFINITE NEMATOCYST VERDE FAGE,FORAGING PLAY PREGNANT CHASE FISH SURFING VOCALS WHISTLE,FO PL
11,18411520,18481714,/media/dkohlsdorf/GODZILLA/2011_wav//06111101.wav,62,INFINITY NAIA FUDGE? BEYOND? VIOLET FLAMBE INFINITE NEMATOCYST VERDE FAGE,FORAGING PLAY PREGNANT CHASE FISH SURFING VOCALS WHISTLE,FO PL
12,19898368,19939890,/media/dkohlsdorf/GODZILLA/2011_wav//06111101.wav,62,INFINITY NAIA FUDGE? BEYOND? VIOLET FLAMBE INFINITE NEMATOCYST VERDE FAGE,FORAGING PLAY PREGNANT CHASE FISH SURFING VOCALS WHISTLE,FO PL
13,20160512,20206130,/media/dkohlsdorf/GODZILLA/2011_wav//06111101.wav,62,INFINITY NAIA FUDGE? BEYOND? VIOLET FLAMBE INFINITE NEMATOCYST VERDE FAGE,FORAGING PLAY PREGNANT CHASE FISH SURFING VOCALS WHISTLE,FO PL
