,start,stop,filename,cluster,names,anno,behavior
0,24576,57906,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,10272,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
1,176128,221746,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,2312,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
2,389120,397874,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,3652,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
3,487424,504370,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,2425,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
4,667648,713266,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,9372,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
5,749568,762418,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,3892,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
6,1646592,1655346,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,1515,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
7,1884160,1892914,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,1664,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
8,1929216,1937970,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,1447,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
9,2166784,2179634,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,4545,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
10,2834432,2884146,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,4228,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
11,2945024,2994738,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,5536,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
12,3325952,3334706,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,1773,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
13,3604480,3617330,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,1464,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
14,3633152,3666482,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,160,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
15,3706880,3732018,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,2459,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
16,3751936,3781170,/media/dkohlsdorf/GODZILLA/2011_wav//06261102.wav,5050,NASSAU PIGLET POINTLESS NEREIDE,PLAY TRAVEL NURSING DISCIPLINE FECAL SAMPLE DEFECATION BEAK GENITAL INVERTED TAIL SLAP PLAY WITH SARGASSUM HEAD HEAD OPEN MOUTH VOCALS BUBBLES,PL TR NU DI
