,start,stop,filename,cluster,index,behavior
0,1118208,1126962,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,3677,11715,['TR']
1,1966080,2028082,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,2721,11716,['TR']
2,2535424,2544178,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,3143,11717,['TR']
3,2564096,2572850,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,1599,11718,['TR']
4,2580480,2642482,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,2721,11719,['TR']
5,2949120,2957874,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,3740,11720,['TR']
6,4603904,4612658,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,104,11721,['TR']
7,4829184,4846130,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,282,11722,['TR']
8,5275648,5284402,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,1866,11723,['TR']
9,5529600,5538354,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,1983,11724,['TR']
10,6275072,6283826,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,2361,11725,['TR']
11,6561792,6570546,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,5992,11726,['TR']
12,6856704,6865458,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,5456,11727,['TR']
13,7647232,7655986,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,1905,11728,['TR']
14,7839744,7885362,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,927,11729,['TR']
15,8118272,8127026,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,4455,11730,['TR']
16,8392704,8401458,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,932,11731,['TR']
17,8491008,8499762,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,1036,11732,['TR']
18,8630272,8639026,/media/dkohlsdorf/GODZILLA/2011_wav//05291103.wav,2332,11733,['TR']
