,start,stop,filename,cluster,index
0,3604480,3625522,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,185,13706
1,6156288,6165042,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,2440,13707
2,6221824,6230578,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,1327,13708
3,7540736,7549490,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,468,13709
4,8650752,8675890,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,711,13710
5,9719808,9728562,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,936,13711
6,10743808,10752562,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,436,13712
7,10977280,10990130,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,542,13713
8,11538432,11547186,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,435,13714
9,11583488,11596338,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,641,13715
10,11620352,11633202,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,1379,13716
11,11661312,11670066,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,640,13717
12,11743232,11751986,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,937,13718
13,12156928,12165682,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,2448,13719
14,12271616,12280370,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,363,13720
15,13250560,13263410,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,67,13721
16,13352960,13361714,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,378,13722
17,13369344,13378098,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,275,13723
18,13529088,13537842,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,601,13724
19,13766656,13775410,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,1943,13725
20,14680064,14697010,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,967,13726
21,14712832,14721586,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,2660,13727
22,14979072,14987826,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,975,13728
23,15028224,15036978,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,269,13729
24,15114240,15122994,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,940,13730
25,15130624,15163954,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,584,13731
26,15175680,15188530,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,506,13732
27,16343040,16351794,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,546,13733
28,16982016,16990770,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,1071,13734
29,17072128,17080882,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,5008,13735
30,17141760,17150514,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,1105,13736
31,18661376,18670130,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,2271,13737
32,18919424,18940466,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,355,13738
33,19050496,19059250,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,1009,13739
34,19062784,19083826,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,362,13740
35,19091456,19108402,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,621,13741
36,19136512,19231282,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,2,13742
37,19296256,19325490,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,856,13743
38,19378176,19411506,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,504,13744
39,19460096,19505714,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,1235,13745
40,19566592,19649074,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,2,13746
41,19668992,19698226,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,1293,13747
42,19763200,19833394,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,2,13748
43,19853312,19903026,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,469,13749
44,19927040,19976754,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,1345,13750
45,19992576,20001330,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,279,13751
46,20008960,20034098,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,389,13752
47,20090880,20116018,/media/dkohlsdorf/GODZILLA/2011_wav//081311N.wav,897,13753
