,start,stop,filename,cluster,names,anno,behavior
0,4726784,4735538,/media/dkohlsdorf/GODZILLA/2011_wav//05131101.wav,61,STUBBY ZIPP FLYING A SUMMER VENUS VIOLET NAIA FREEDOM FLAMBE VERDE ZAP FAB SHADES VAL,TRAVEL DISCIPLINE SWIM BY CHASE DEFECATION BOWRIDE,TR DI
1,6946816,7033394,/media/dkohlsdorf/GODZILLA/2011_wav//05131101.wav,62,STUBBY ZIPP FLYING A SUMMER VENUS VIOLET NAIA FREEDOM FLAMBE VERDE ZAP FAB SHADES VAL,TRAVEL DISCIPLINE SWIM BY CHASE DEFECATION BOWRIDE,TR DI
2,1835008,1847858,/media/dkohlsdorf/GODZILLA/2011_wav//05131101.wav,316,STUBBY ZIPP FLYING A SUMMER VENUS VIOLET NAIA FREEDOM FLAMBE VERDE ZAP FAB SHADES VAL,TRAVEL DISCIPLINE SWIM BY CHASE DEFECATION BOWRIDE,TR DI
3,9318400,9331250,/media/dkohlsdorf/GODZILLA/2011_wav//05131101.wav,1049,STUBBY ZIPP FLYING A SUMMER VENUS VIOLET NAIA FREEDOM FLAMBE VERDE ZAP FAB SHADES VAL,TRAVEL DISCIPLINE SWIM BY CHASE DEFECATION BOWRIDE,TR DI
