,start,stop,filename,cluster,index
0,69632,78386,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,1368,8005
1,139264,148018,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,1172,8006
2,225280,238130,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,345,8007
3,290816,299570,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,4701,8008
4,364544,373298,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,6424,8009
5,413696,422450,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,685,8010
6,434176,442930,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,38,8011
7,638976,647730,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,325,8012
8,675840,692786,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,4973,8013
9,708608,717362,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,0,8014
10,823296,836146,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,5665,8015
11,880640,889394,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,611,8016
12,892928,901682,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,73,8017
13,958464,967218,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,632,8018
14,1007616,1020466,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,158,8019
15,1064960,1073714,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,79,8020
16,1110016,1118770,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,6,8021
17,1130496,1139250,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,49,8022
18,1150976,1159730,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,680,8023
19,1286144,1294898,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,1180,8024
20,1409024,1417778,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,2790,8025
21,1433600,1442354,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,5526,8026
22,1474560,1483314,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,268,8027
23,1490944,1499698,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,5243,8028
24,1515520,1528370,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,579,8029
25,1531904,1544754,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,1,8030
26,1581056,1589810,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,6,8031
27,1609728,1618482,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,1286,8032
28,1642496,1659442,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,158,8033
29,1683456,1696306,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,9213,8034
30,1814528,1823282,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,1402,8035
31,1839104,1847858,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,1300,8036
32,1892352,1901106,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,159,8037
33,2043904,2052658,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,8180,8038
34,2187264,2196018,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,30,8039
35,2232320,2241074,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,5327,8040
36,2347008,2355762,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,2895,8041
37,2363392,2372146,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,30,8042
38,2392064,2400818,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,2366,8043
39,2457600,2474546,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,2985,8044
40,2490368,2499122,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,3244,8045
41,2519040,2527794,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,2175,8046
42,2949120,2957874,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,6,8047
43,3231744,3240498,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,667,8048
44,3313664,3322418,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,139,8049
45,3530752,3539506,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,1346,8050
46,3559424,3568178,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,5357,8051
47,3694592,3723826,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,4236,8052
48,3727360,3756594,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,2970,8053
49,3768320,3781170,/media/dkohlsdorf/GODZILLA/2011_wav//061211sbC.wav,3118,8054
