,start,stop,filename,cluster,names,anno,behavior
0,430080,451122,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,3651,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
1,507904,524850,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,10577,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
2,548864,561714,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,3363,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
3,589824,602674,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,4936,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
4,618496,639538,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,4356,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
5,667648,680498,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,6371,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
6,700416,721458,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,8527,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
7,729088,737842,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,2285,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
8,741376,758322,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,4355,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
9,876544,885298,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,8600,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
10,913408,922162,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,2959,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
11,983040,999986,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,5019,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
12,1007616,1020466,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,6359,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
13,1024000,1045042,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,3309,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
14,1089536,1106482,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,3834,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
15,1114112,1139250,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,4133,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
16,1159168,1180210,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,6364,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
17,1191936,1217074,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,3685,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
18,1224704,1253938,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,5436,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
19,1261568,1298994,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,4213,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
20,1314816,1335858,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,3573,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
21,1347584,1372722,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,3778,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
22,1380352,1491506,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,2,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
23,1495040,1528370,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,4217,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
24,1536000,1585714,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,10678,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
25,1638400,1655346,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,6076,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
26,1675264,1696306,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,2815,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
27,1703936,1745458,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,3820,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
28,1802240,1810994,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,8927,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
29,1830912,1843762,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,7677,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
30,1875968,1884722,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,4200,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
31,1966080,1987122,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,4867,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
32,2002944,2015794,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,3833,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
33,2039808,2069042,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,7904,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
34,2076672,2114098,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,10314,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
35,2121728,2150962,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,4473,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
36,2154496,2179634,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,4067,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
37,2187264,2208306,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,3518,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
38,2220032,2245170,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,10072,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
39,2256896,2273842,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,7787,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
40,2281472,2310706,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,3788,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
41,2322432,2347570,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,3385,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
42,2351104,2388530,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,10772,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
43,2396160,2429490,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,9222,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
44,2437120,2523698,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,2,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
45,2527232,2560562,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,8751,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
46,2564096,2622002,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,638,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
47,2637824,2650674,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,6567,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
48,2662400,2716210,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,5609,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
49,2723840,2761266,/media/dkohlsdorf/GODZILLA/2011_wav//08031101.wav,10830,NAVEL RIVET SCQEW MYSTERY GEO MUGSY BLOTCHES ZOT BISHU NASSAU PIGLET NEREIDE MERIDIAN POINTLESS ZEN BAMBOO,TRAVEL SWIM BY COALITION,TR
