,start,stop,filename,cluster,names,anno,behavior
0,1552384,1561138,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,3759,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
1,2650112,2667058,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,3777,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
2,3923968,3932722,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,610,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
3,3960832,3977778,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,6346,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
4,6152192,6169138,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,9916,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
5,6176768,6185522,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,5497,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
6,6344704,6353458,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,4628,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
7,6377472,6386226,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,9661,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
8,13520896,13529650,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,227,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
9,16166912,16175666,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,3675,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
10,17510400,17519154,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,5948,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
11,19296256,19305010,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,6102,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
12,22540288,22549042,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,5349,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
13,25645056,25653810,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,1684,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
14,27111424,27120178,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,1422,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
15,27262976,27271730,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,681,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
16,27279360,27288114,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,10111,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
17,27336704,27349554,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,3787,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
18,27533312,27542066,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,68,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
19,28962816,28971570,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,6521,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
20,30564352,30573106,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,10869,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
21,30609408,30618162,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,1708,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
22,30621696,30630450,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,8505,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
23,30654464,30695986,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,4041,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
24,30785536,30822962,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,4610,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
25,30855168,30925362,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,1332,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
26,30937088,30954034,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,7250,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
27,30990336,30999090,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,6329,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
28,31137792,31150642,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,5354,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
29,31272960,31281714,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,4875,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
30,31309824,31359538,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,4744,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
31,31731712,31748658,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,3050,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
32,31760384,31834674,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,2,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
33,31870976,31883826,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,3234,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
34,31899648,31908402,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,2030,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
35,32194560,32203314,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,3296,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
36,32215040,32231986,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,255,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
37,32239616,32248370,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,145,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
38,32350208,32367154,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,10245,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
39,32370688,32457266,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,2,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
40,32468992,32485938,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,2804,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
41,32501760,32522802,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,2313,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
42,32526336,32539186,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,10346,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
43,32575488,32592434,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,3338,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
44,32600064,32608818,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,11045,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
45,32632832,32743986,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,2,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
46,32751616,32805426,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,10670,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
47,32829440,32981554,/media/dkohlsdorf/GODZILLA/2011_wav//07161101.wav,2,TRIMY TYLER VIOLET FREEDOM FRIEND MARBLE VERDE TRIBBLE TRISTAN,PLAY VOCALS SIG WHISTLE BUBBLES LAY ON BOTTOM TAIL SLAP INVERTDE SWIM NEEDLEFISH CHASE FISH,PL
