,start,stop,filename,cluster,index,behavior
60,8433664,8442418,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,8551,928,"['FO', 'TR']"
61,8523776,8532530,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,1340,929,"['FO', 'TR']"
62,8540160,8548914,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,8125,930,"['FO', 'TR']"
63,8560640,8569394,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,7462,931,"['FO', 'TR']"
64,8605696,8614450,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,7852,932,"['FO', 'TR']"
65,8671232,8679986,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,6084,933,"['FO', 'TR']"
66,8708096,8716850,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,8717,934,"['FO', 'TR']"
67,8785920,8794674,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,5686,935,"['FO', 'TR']"
68,9326592,9335346,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,7269,936,"['FO', 'TR']"
69,9453568,9462322,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,10035,937,"['FO', 'TR']"
70,9543680,9552434,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,11162,938,"['FO', 'TR']"
71,9584640,9593394,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,10014,939,"['FO', 'TR']"
72,9625600,9634354,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,2502,940,"['FO', 'TR']"
73,9768960,9777714,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,9,941,"['FO', 'TR']"
74,9834496,9843250,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,10941,942,"['FO', 'TR']"
75,9920512,9929266,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,178,943,"['FO', 'TR']"
76,10039296,10052146,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,9448,944,"['FO', 'TR']"
77,10145792,10154546,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,8611,945,"['FO', 'TR']"
78,10178560,10187314,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,8999,946,"['FO', 'TR']"
79,10469376,10478130,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,9969,947,"['FO', 'TR']"
80,10489856,10498610,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,6499,948,"['FO', 'TR']"
81,10592256,10601010,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,1296,949,"['FO', 'TR']"
82,10616832,10625586,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,8320,950,"['FO', 'TR']"
83,10678272,10695218,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,7862,951,"['FO', 'TR']"
84,10764288,10773042,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,6,952,"['FO', 'TR']"
85,10788864,10797618,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,1366,953,"['FO', 'TR']"
86,10825728,10838578,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,1354,954,"['FO', 'TR']"
87,11182080,11199026,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,47,955,"['FO', 'TR']"
